codice_regione,data,deceduti,denominazione_regione,dimessi_guariti,isolamento_domiciliare,lat,long,note_en,note_it,nuovi_positivi,ricoverati_con_sintomi,stato,tamponi,terapia_intensiva,totale_casi,totale_ospedalizzati,totale_positivi,variazione_totale_positivi
17,2020-02-25T18:00:00,0,Basilicata,0,0,40.63947052,15.80514834,,,0,0,ITA,0,0,0,0,0,0
4,2020-02-25T18:00:00,0,P.A. Bolzano,0,0,46.49933453,11.35662422,,,1,1,ITA,1,0,1,1,1,1
18,2020-02-25T18:00:00,0,Calabria,0,0,38.90597598,16.59440194,,,0,0,ITA,2,0,0,0,0,0
15,2020-02-25T18:00:00,0,Campania,0,0,40.83956555,14.25084984,,,0,0,ITA,10,0,0,0,0,0
8,2020-02-25T18:00:00,0,Emilia-Romagna,0,9,44.49436681,11.3417208,,,8,15,ITA,391,2,26,17,26,8
6,2020-02-25T18:00:00,0,Friuli Venezia Giulia,0,0,45.6494354,13.76813649,,,0,0,ITA,89,0,0,0,0,0
12,2020-02-25T18:00:00,0,Lazio,1,0,41.89277044,12.48366722,,,0,1,ITA,124,1,3,2,2,0
7,2020-02-25T18:00:00,0,Liguria,0,0,44.41149315,8.9326992,,,1,1,ITA,39,0,1,1,1,1
3,2020-02-25T18:00:00,9,Lombardia,0,127,45.46679409,9.190347404,,,68,79,ITA,3700,25,240,104,231,65
11,2020-02-25T18:00:00,0,Marche,0,0,43.61675973,13.5188753,,,0,0,ITA,21,0,0,0,0,0
14,2020-02-25T18:00:00,0,Molise,0,0,41.55774754,14.65916051,,,0,0,ITA,0,0,0,0,0,0
1,2020-02-25T18:00:00,0,Piemonte,0,1,45.0732745,7.680687483,,,0,2,ITA,141,0,3,2,3,0
16,2020-02-25T18:00:00,0,Puglia,0,0,41.12559576,16.86736689,,,0,0,ITA,0,0,0,0,0,0
20,2020-02-25T18:00:00,0,Sardegna,0,0,39.21531192,9.110616306,,,0,0,ITA,1,0,0,0,0,0
19,2020-02-25T18:00:00,0,Sicilia,0,2,38.11569725,13.3623567,,,3,1,ITA,5,0,3,1,3,3
9,2020-02-25T18:00:00,0,Toscana,0,0,43.76923077,11.25588885,,,2,2,ITA,296,0,2,2,2,2
4,2020-02-25T18:00:00,0,P.A. Trento,0,0,46.06893511,11.12123097,,,0,0,ITA,3,0,0,0,0,0
10,2020-02-25T18:00:00,0,Umbria,0,0,43.10675841,12.38824698,,,0,0,ITA,8,0,0,0,0,0
2,2020-02-25T18:00:00,0,Valle d'Aosta,0,0,45.73750286,7.320149366,,,0,0,ITA,7,0,0,0,0,0
5,2020-02-25T18:00:00,1,Veneto,0,23,45.43490485,12.33845213,,,10,12,ITA,3780,7,43,19,42,10
13,2020-02-26T18:00:00,0,Abruzzo,0,0,42.35122196,13.39843823,,,0,0,ITA,13,0,0,0,0,0
17,2020-02-26T18:00:00,0,Basilicata,0,0,40.63947052,15.80514834,,,0,0,ITA,0,0,0,0,0,0
4,2020-02-26T18:00:00,0,P.A. Bolzano,0,0,46.49933453,11.35662422,,,0,1,ITA,1,0,1,1,1,0
18,2020-02-26T18:00:00,0,Calabria,0,0,38.90597598,16.59440194,,,0,0,ITA,3,0,0,0,0,0
15,2020-02-26T18:00:00,0,Campania,0,0,40.83956555,14.25084984,,,0,0,ITA,10,0,0,0,0,0
8,2020-02-26T18:00:00,1,Emilia-Romagna,0,23,44.49436681,11.3417208,,,21,20,ITA,577,3,47,23,46,20
6,2020-02-26T18:00:00,0,Friuli Venezia Giulia,0,0,45.6494354,13.76813649,,,0,0,ITA,114,0,0,0,0,0
12,2020-02-26T18:00:00,0,Lazio,3,0,41.89277044,12.48366722,,,0,0,ITA,124,0,3,0,0,-2
